INPUT FILE: /Users/cc/Desktop/hamiltonian/stacking/stacking_examples_reverse/R1-C5_R2-C7_R3-C7.txt

Stacking Case (types read from header)
-------------------------------------
R1: C5 — m odd > 3, n = 2
R2: C7 — m odd > 3, n = 2
R3: C7 — m even > 2, n odd > 3

Example 1
  R1: m=5, n=2
  R2: m=7, n=2
  R3: m=8, n=5
  #Solutions: 124
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
    155. R3[9->6], R2[6->4], R1[4->4]

  First few with global coordinates (up to 10 shown):
      1. whole: s=(0, 8) -> t=(1, 0)
         R3: (0, 8) -> (1, 4)   (bridge down from R3_t to R2_s)
         R2: (1, 3) -> (3, 2)   (bridge down from R2_t to R1_s)
         R1: (3, 1) -> (1, 0)
      2. whole: s=(0, 8) -> t=(3, 0)
         R3: (0, 8) -> (3, 4)   (bridge down from R3_t to R2_s)
         R2: (3, 3) -> (1, 2)   (bridge down from R2_t to R1_s)
         R1: (1, 1) -> (3, 0)
      3. whole: s=(0, 8) -> t=(3, 0)
         R3: (0, 8) -> (5, 4)   (bridge down from R3_t to R2_s)
         R2: (5, 3) -> (1, 2)   (bridge down from R2_t to R1_s)
         R1: (1, 1) -> (3, 0)
      4. whole: s=(0, 8) -> t=(1, 0)
         R3: (0, 8) -> (5, 4)   (bridge down from R3_t to R2_s)
         R2: (5, 3) -> (3, 2)   (bridge down from R2_t to R1_s)
         R1: (3, 1) -> (1, 0)
      5. whole: s=(1, 8) -> t=(0, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (0, 2)   (bridge down from R2_t to R1_s)
         R1: (0, 1) -> (0, 0)
      6. whole: s=(1, 8) -> t=(2, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (0, 2)   (bridge down from R2_t to R1_s)
         R1: (0, 1) -> (2, 0)
      7. whole: s=(1, 8) -> t=(4, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (0, 2)   (bridge down from R2_t to R1_s)
         R1: (0, 1) -> (4, 0)
      8. whole: s=(1, 8) -> t=(0, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (2, 2)   (bridge down from R2_t to R1_s)
         R1: (2, 1) -> (0, 0)
      9. whole: s=(1, 8) -> t=(4, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (2, 2)   (bridge down from R2_t to R1_s)
         R1: (2, 1) -> (4, 0)
     10. whole: s=(1, 8) -> t=(0, 0)
         R3: (1, 8) -> (0, 4)   (bridge down from R3_t to R2_s)
         R2: (0, 3) -> (4, 2)   (bridge down from R2_t to R1_s)
         R1: (4, 1) -> (0, 0)

------------------------------------------------------------

Example 3
  R1: m=5, n=2
  R2: m=9, n=2
  R3: m=10, n=5
  #Solutions: 205
  Solutions (each line: R3[xs->xt], R2[xs->xt], R1[xs->xt])
      1. R3[0->1], R2[1->3], R1[3->1]
      2. R3[0->3], R2[3->1], R1[1->3]
      3. R3[0->5], R2[5->1], R1[1->3]
      4. R3[0->5], R2[5->3], R1[3->1]
      5. R3[0->7], R2[7->1], R1[1->3]
      6. R3[0->7], R2[7->3], R1[3->1]
      7. R3[1->0], R2[0->0], R1[0->0]
      8. R3[1->0], R2[0->0], R1[0->2]
      9. R3[1->0], R2[0->0], R1[0->4]
     10. R3[1->0], R2[0->2], R1[2->0]
     11. R3[1->0], R2[0->2], R1[2->4]
     12. R3[1->0], R2[0->4], R1[4->0]
     13. R3[1->0], R2[0->4], R1[4->2]
     14. R3[1->0], R2[0->4], R1[4->4]
     15. R3[1->2], R2[2->0], R1[0->0]
     16. R3[1->2], R2[2->0], R1[0->2]
     17. R3[1->2], R2[2->0], R1[0->4]
     18. R3[1->2], R2[2->4], R1[4->0]
     19. R3[1->2], R2[2->4], R1[4->2]
     20. R3[1->2], R2[2->4], R1[4->4]
     21. R3[1->4], R2[4->0], R1[0->0]
     22. R3[1->4], R2[4->0], R1[0->2]
     23. R3[1->4], R2[4->0], R1[0->4]
     24. R3[1->4], R2[4->2], R1[2->0]
     25. R3[1->4], R2[4->2], R1[2->4]
     26. R3[1->6], R2[6->0], R1[0->0]
     27. R3[1->6], R2[6->0], R1[0->2]
     28. R3[1->6], R2[6->0], R1[0->4]
     29. R3[1->6], R2[6->2], R1[2->0]
     30. R3[1->6], R2[6->2], R1[2->4]
     31. R3[1->6], R2[6->4], R1[4->0]
     32. R3[1->6], R2[6->4], R1[4->2]
     33. R3[1->6], R2[6->4], R1[4->4]
     34. R3[1->8], R2[8->0], R1[0->0]
     35. R3[1->8], R2[8->0], R1[0->2]
     36. R3[1->8], R2[8->0], R1[0->4]
     37. R3[1->8], R2[8->2], R1[2->0]
     38. R3[1->8], R2[8->2], R1[2->4]
     39. R3[1->8], R2[8->4], R1[4->0]
     40. R3[1->8], R2[8->4], R1[4->2]
     41. R3[1->8], R2[8->4], R1[4->4]
     42. R3[2->1], R2[1->3], R1[3->1]
     43. R3[2->3], R2[3->1], R1[1->3]
     44. R3[2->5], R2[5->1], R1[1->3]
     45. R3[2->5], R2[5->3], R1[3->1]
     46. R3[2->7], R2[7->1], R1[1->3]
     47. R3[2->7], R2[7->3], R1[3->1]
     48. R3[3->0], R2[0->0], R1[0->0]
     49. R3[3->0], R2[0->0], R1[0->2]
     50. R3[3->0], R2[0->0], R1[0->4]
     51. R3[3->0], R2[0->2], R1[2->0]
     52. R3[3->0], R2[0->2], R1[2->4]
     53. R3[3->0], R2[0->4], R1[4->0]
     54. R3[3->0], R2[0->4], R1[4->2]
     55. R3[3->0], R2[0->4], R1[4->4]
     56. R3[3->2], R2[2->0], R1[0->0]
     57. R3[3->2], R2[2->0], R1[0->2]
     58. R3[3->2], R2[2->0], R1[0->4]
     59. R3[3->2], R2[2->4], R1[4->0]
     60. R3[3->2], R2[2->4], R1[4->2]
     61. R3[3->2], R2[2->4], R1[4->4]
     62. R3[3->4], R2[4->0], R1[0->0]
     63. R3[3->4], R2[4->0], R1[0->2]
     64. R3[3->4], R2[4->0], R1[0->4]
     65. R3[3->4], R2[4->2], R1[2->0]
     66. R3[3->4], R2[4->2], R1[2->4]
     67. R3[3->6], R2[6->0], R1[0->0]
     68. R3[3->6], R2[6->0], R1[0->2]
     69. R3[3->6], R2[6->0], R1[0->4]
     70. R3[3->6], R2[6->2], R1[2->0]
     71. R3[3->6], R2[6->2], R1[2->4]
     72. R3[3->6], R2[6->4], R1[4->0]
     73. R3[3->6], R2[6->4], R1[4->2]
     74. R3[3->6], R2[6->4], R1[4->4]
     75. R3[3->8], R2[8->0], R1[0->0]
     76. R3[3->8], R2[8->0], R1[0->2]
     77. R3[3->8], R2[8->0], R1[0->4]
     78. R3[3->8], R2[8->2], R1[2->0]
     79. R3[3->8], R2[8->2], R1[2->4]
     80. R3[3->8], R2[8->4], R1[4->0]
     81. R3[3->8], R2[8->4], R1[4->2]
     82. R3[3->8], R2[8->4], R1[4->4]
     83. R3[4->1], R2[1->3], R1[3->1]
     84. R3[4->3], R2[3->1], R1[1->3]
     85. R3[4->5], R2[5->1], R1[1->3]
     86. R3[4->5], R2[5->3], R1[3->1]
     87. R3[4->7], R2[7->1], R1[1->3]
     88. R3[4->7], R2[7->3], R1[3->1]
     89. R3[5->0], R2[0->0], R1[0->0]
     90. R3[5->0], R2[0->0], R1[0->2]
     91. R3[5->0], R2[0->0], R1[0->4]
     92. R3[5->0], R2[0->2], R1[2->0]
     93. R3[5->0], R2[0->2], R1[2->4]
     94. R3[5->0], R2[0->4], R1[4->0]
     95. R3[5->0], R2[0->4], R1[4->2]
     96. R3[5->0], R2[0->4], R1[4->4]
     97. R3[5->2], R2[2->0], R1[0->0]
     98. R3[5->2], R2[2->0], R1[0->2]
     99. R3[5->2], R2[2->0], R1[0->4]
    100. R3[5->2], R2[2->4], R1[4->0]
    101. R3[5->2], R2[2->4], R1[4->2]
    102. R3[5->2], R2[2->4], R1[4->4]
    103. R3[5->4], R2[4->0], R1[0->0]
    104. R3[5->4], R2[4->0], R1[0->2]
    105. R3[5->4], R2[4->0], R1[0->4]
    106. R3[5->4], R2[4->2], R1[2->0]
    107. R3[5->4], R2[4->2], R1[2->4]
    108. R3[5->6], R2[6->0], R1[0->0]
    109. R3[5->6], R2[6->0], R1[0->2]
    110. R3[5->6], R2[6->0], R1[0->4]
    111. R3[5->6], R2[6->2], R1[2->0]
    112. R3[5->6], R2[6->2], R1[2->4]
    113. R3[5->6], R2[6->4], R1[4->0]
    114. R3[5->6], R2[6->4], R1[4->2]
    115. R3[5->6], R2[6->4], R1[4->4]
    116. R3[5->8], R2[8->0], R1[0->0]
    117. R3[5->8], R2[8->0], R1[0->2]
    118. R3[5->8], R2[8->0], R1[0->4]
    119. R3[5->8], R2[8->2], R1[2->0]
    120. R3[5->8], R2[8->2], R1[2->4]
    121. R3[5->8], R2[8->4], R1[4->0]
    122. R3[5->8], R2[8->4], R1[4->2]
    123. R3[5->8], R2[8->4], R1[4->4]
    124. R3[6->1], R2[1->3], R1[3->1]
    125. R3[6->3], R2[3->1], R1[1->3]
    126. R3[6->5], R2[5->1], R1[1->3]
    127. R3[6->5], R2[5->3], R1[3->1]
    128. R3[6->7], R2[7->1], R1[1->3]
    129. R3[6->7], R2[7->3], R1[3->1]
    130. R3[7->0], R2[0->0], R1[0->0]
    131. R3[7->0], R2[0->0], R1[0->2]
    132. R3[7->0], R2[0->0], R1[0->4]
    133. R3[7->0], R2[0->2], R1[2->0]
    134. R3[7->0], R2[0->2], R1[2->4]
    135. R3[7->0], R2[0->4], R1[4->0]
    136. R3[7->0], R2[0->4], R1[4->2]
    137. R3[7->0], R2[0->4], R1[4->4]
    138. R3[7->2], R2[2->0], R1[0->0]
    139. R3[7->2], R2[2->0], R1[0->2]
    140. R3[7->2], R2[2->0], R1[0->4]
    141. R3[7->2], R2[2->4], R1[4->0]
